item_seq,dl_name,ingredient,effect,dosage_all,time,warning
198700706,보령부스파정 5mg,부스피론염산염,불안장애 치료 및 완화,1일 3회 1정,,
198801531,뮤테란캡슐 100mg,아세틸시스테인,기관지염·천식 증상완화,낭성섬유증: 1일 3회 1정 / 급성: 성인 1일 3회 2정 / 만성: 성인 1일 2회 2정 / 급성: 소아 1일 2회 1정 / 만성: 소아 1일 3회 1정,,
199101125,일양하이트린정 2mg,테라조산염산염수화물,고혈압·전립선비대 개선,양성전립선비대: 1일 1회 5~10mg / 고혈압: 1일 1회 2~10mg,,
199102014,기넥신에프정(은행엽엑스)(수출용),은행엽건조엑스,기억력·집중력 저하개선,1일 1회 1정,,
199102825,무코스타정(레바미피드)(비매품),레바미피드,위궤양·위점막병변 개선,1일 3회 1정,,
199201106,알드린정,알마게이트,위산과다·속쓰림 개선,1일 3회 2정,식후 30분,씹어서 복용하세요
199201807,뉴로메드정(옥시라세탐),,,,,
199400486,에어탈정(아세클로페낙),아세클로페낙,관절염·근육통 완화,1일 2회 1정,12시간마다,
200202194,리렉스펜정 300mg/PTP,"아세트아미노펜, 클로르족사존",근육통·신경통 완화,1일 4회 2정,,
200202889,아빌리파이정 10mg,아리피프라졸,조현병·양극성장애 치료,1일 1회 1정,,의사와 상의 후 복용하세요
200300416,다보타민큐정 10mg/병,조합 비타민 영양제,피로회복 및 영양보충,1일 1회 1정,,
200301818,써스펜8시간이알서방정 650mg,아세트아미노펜,해열진통 및 감기증상,2정,8시간마다,1일 6정 초과 복용을 금지해요
200308324,에빅사정(비매품),메만틴염산염,중등도 알츠하이머 치료,1일 1회 1정,,의사와 상의 후 복용하세요
200410085,리피토정 20mg,아토르바스타틴,심혈관질환·고지혈증개선,1일 1회 1정,,의사와 상의 후 복용하세요
200410326,크레스토정 20mg,로수바스타틴,고콜레스테롤혈증 개선,1일 1회 5~20mg,,의사와 상의 후 복용하세요
200500251,가바토파정 100mg,,,,,
200500254,동아가바펜틴정 800mg,가바펜틴,뇌전증·신경병증 통증완화,1일 3회 1~3정,,
200500497,오마코연질캡슐,오메가-3-산에틸에스테르90,고트리글리세라이드 감소,1일 1~2회 2정,,
200511058,리리카캡슐 150mg,프레가발린,신경병증성 통증완화,1일 2회 1~2정,,
200600026,종근당글리아티린연질캡슐,콜린알포세레이트,기억력저하 등 개선,1일 2~3회 1정,,
200605445,콜리네이트연질캡슐 400mg,콜린알포게레이트,기억력저하 등 개선,1일 2~3회 1정,,
200607734,트루비타정 60mg/병,종합 비타민 영양제,피로회복 및 영양보충,1일 1회 1정,,
200607849,스토가정 10mg,라푸티딘,위염·역류성식도염 치료,1일 2회 1정,,
200610660,노바스크정 5mg,암로디핀베실산염,"심근성허혈증, 고혈압 치료",1일 1회 1정,,
200611524,마도파정,,,,,
200700907,플라빅스정 75mg,클로피도그렐,동맥경화성 질환 개선,1일 1회 1정,,
200703803,엑스포지정 5/160mg,"암로디핀, 발사르탄",본태성 고혈압 조절,1일 1회 1정,매일 같은 시간,
200705992,아토르바정 10mg,아토르바스타틴,고지혈증 위험 감소,1일 1회 1정,,
200708376,라비에트정 20mg,라베프라졸나트륨,위궤양·역류성식도염 개선,1일 1회 1정,,
200709390,리피로우정 20mg,아토르바스타틴,고지혈증 위험 감소,1일 1회 1정,,
200710758,자누비아정 50mg,시타글립틴,제2형 당뇨 혈당조절,1일 1회 2정,,
200710817,맥시부펜이알정 300mg,덱시부프로펜,관절염 및 통증완화,1일 2회 2정,,1일 6정 초과 복용을 금지해요
200810688,놀텍정 10mg,일라프라졸,위궤양·역류성식도염 개선,1일 1회 1정,,
200901817,자누메트정 50/850mg,"메트포르만염산염, 시타클립틴인산염수화물",제2형 당뇨 혈당조절,1일 2회 1정,,
200902214,큐시드정 31.5mg/PTP,,,,,
200902349,아모잘탄정 5/100mg,"암로디핀, 로사르탄칼륨",본태성 고혈압 조절,1일 1회 1정,매일 같은 시간,
201005081,트윈스타정 40/5mg,"암로디핀, 텔미사르탄",본태성 고혈압 치료,1일 1회 1정,매일 같은 시간,
201005501,카나브정 60mg,피마살탄칼륨,고혈압·단백뇨 감소,1일 1회 1정,,
202201173,울트라셋이알서방정,"아세트아미노펜, 트라마돌염산염",중등도 만성통증 완화,1일 1회 1정,,1일 4정 초과 복용을 금지해요
201007672,졸로푸트정 100mg,설트랄린,우울증·불안장애 치료,1일 1회 1정,,의사와 상의 후 복용하세요
201106367,트라젠타정,리나글립틴,제2형 당뇨 혈당조절,1일 1회 1정,,
201200417,비모보정 500/20mg,"에스오메프라졸, 나프록센",골관절염 등 증상치료,1일 2회 1정,식전 30분,
201201587,레일라정,"당귀, 모과, 방풍 외 9종",골관절증 증상 완화,1일 2회 1정,,
201205253,리바로정 4mg,피타바스타틴칼슘,고콜레스테롤혈증 개선,1일 1회 1정,,
201208291,트라젠타듀오정 2.5/850mg,"리나글립틴, 메트포로만염산염",제2형 당뇨 혈당조절,1일 2회 1정,,
201309347,아질렉트정,라사길린메실란염,파킨슨병 증상 치료,1일 1회 1정,,
201309418,자누메트엑스알서방정 100/1000mg,"메트포로만염산염, 시타클립틴인산염수화물",제2형 당뇨 혈당조절,1일 1회 1정,,
201310719,글리아타민연질캡슐,콜린알포세레이트,기억력저하 등 개선,1일 2~3회 1정,,
201401963,신바로정,"자오가, 우슬 외 4종",소염·진통 골관절증,1일 2회 2정,,
201402463,에스원엠프정 20mg,에스오메프라졸,위식도역류질환 치료,위식도 역류성 질환: 1일 1회 1정 / 졸링거-엘리슨 증후군: 1일 2회 2정,,
201403839,글리틴정,콜린알포세레이트,기억력저하 등 개선,1일 2~3회 1정,,
201405223,제미메트서방정 50/1000mg,"제미글립틴, 메트포르민염산염",제2형 당뇨 혈당조절,1일 1회 1정,,
201500365,아토젯정 10/40mg,"아토르바스타틴, 에제티미브",고콜레스테롤혈증 개선,1일 1회 1정,,
201503658,로수젯정 10/5mg,"에제티미브, 로수바스타틴",고콜레스테롤혈증 개선,1일 1회 1정,,
201600318,로수바미브정 10/20mg,"에제티미브, 로수바스타틴",고콜레스테롤혈증 개선,1일 1회 1정,,
201702674,카발린캡슐 25mg,프레가발린,신경병증성 통증완화,,,의사와 상의 후 복용하세요
